Route,Time Block,Ridership,Route Length (km),Round Trip Time (hr),Cost per Bus ($/hr),Min Buses,Max Buses,Benefit per Bus
5,Early AM,23,12,1.16,120,1,6,1.15
5,AM Peak,292,12,1.16,120,2,12,14.6
5,Midday,566,12,1.16,120,2,14,28.3
5,PM Peak,303,12,1.16,120,2,12,15.2
5,Evening,162,12,1.16,120,1,8,8.1
5,Night,73,12,1.16,120,1,6,3.65
6,Early AM,177,18,1.64,120,2,10,8.85
6,AM Peak,1724,18,1.64,120,4,20,86.2
6,Midday,3513,18,1.64,120,4,24,175.7
6,PM Peak,2781,18,1.64,120,4,22,139.1
6,Evening,1064,18,1.64,120,2,14,53.2
6,Night,448,18,1.64,120,1,10,22.4
7,Early AM,110,16,1.48,120,2,8,5.5
7,AM Peak,1649,16,1.48,120,4,20,82.45
7,Midday,3533,16,1.48,120,4,24,176.7
7,PM Peak,2555,16,1.48,120,4,22,127.8
7,Evening,1075,16,1.48,120,2,14,53.75
7,Night,550,16,1.48,120,1,10,27.5
9,Early AM,44,10,1,120,1,6,2.2
9,AM Peak,383,10,1,120,2,10,19.15
9,Midday,368,10,1,120,2,10,18.4
9,PM Peak,328,10,1,120,2,10,16.4
9,Evening,105,10,1,120,1,6,5.25
9,Night,58,10,1,120,1,6,2.9
10,Early AM,42,14,1.32,120,1,6,2.1
10,AM Peak,879,14,1.32,120,3,14,43.95
10,Midday,2275,14,1.32,120,3,18,113.75
10,PM Peak,1291,14,1.32,120,3,16,64.55
10,Evening,443,14,1.32,120,2,10,22.15
10,Night,229,14,1.32,120,1,8,11.45
